ELEITO,SQ_CANDIDATO,CD_CARGO,NR_IDADE_DATA_POSSE,CD_GENERO,CD_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,CD_COR_RACA,CD_OCUPACAO,CD_REELEICAO,VR_BEM_CANDIDATO,QT_VOTOS_NOMINAIS
0,250001692524,7,480,2,6,3,3,512,0,37161118,158
1,100001608098,7,710,2,6,3,3,923,0,135300000,37709
0,130001596020,6,630,2,6,3,1,923,0,2600000,66381
1,20001610332,6,650,2,8,9,3,277,1,494654,66381
0,130001606703,6,540,2,6,3,3,923,0,1593530,1907
0,150001621598,7,570,2,8,9,2,233,0,3480000,180
0,250001621429,7,450,4,4,3,1,237,0,3011903,483
1,70001601758,8,370,2,8,1,2,134,1,11176164,51792
0,130001615440,6,370,2,8,3,2,172,0,590000,2178
0,80001653281,6,500,2,8,3,3,296,0,565000,538
0,250001610478,7,470,2,6,3,1,257,0,90504552,16696
0,250001643303,7,590,2,6,3,3,257,0,3100000,496
0,120001646512,7,460,2,7,1,3,921,0,1088034,305
1,210001647191,7,440,2,6,3,1,237,0,57704558,39225
0,270001642304,6,600,2,7,9,1,601,0,226321874,3670
0,50001619935,6,330,4,8,1,1,263,0,1450000,2944
0,250001721344,7,660,2,8,3,1,999,0,5930000,146
0,130001612793,6,560,2,6,1,2,999,0,450000,631
0,40001609234,6,550,2,8,3,1,233,0,127779246,1447
0,250001643743,6,500,2,3,3,2,537,0,14420008,566
0,160001716196,6,730,4,8,5,1,257,0,680000,476
0,160001717265,7,530,4,8,3,1,999,0,51122008,297
0,90001695735,7,430,2,5,3,2,166,0,150000,232
0,170001596600,6,540,4,8,1,1,403,0,300000,446
0,150001725481,6,680,2,8,3,1,266,0,123782003,327
0,110001601891,6,480,2,8,1,1,111,0,157412174,1868
0,210001610584,7,530,2,8,3,2,131,0,1970000,1444
1,100001599082,6,690,4,8,3,1,923,0,1576241022,97008
0,130001634283,7,610,2,4,3,3,999,0,2120000,641
0,90001674797,7,640,2,8,3,4,131,0,23756357,6229
0,40001620693,7,210,2,7,1,1,931,0,589648,2738
0,210001596177,7,540,2,8,3,1,125,0,65653052,904
0,160001622006,6,400,2,8,1,1,132,0,1230000,1486
0,250001613969,6,460,2,8,9,1,172,0,80000,260
0,250001721379,7,640,4,7,3,4,999,0,939740,421
0,130001634042,7,440,2,8,3,1,143,0,2658000,2042
0,60001613530,7,450,2,6,3,1,257,0,540000,540
0,10001643330,7,260,4,8,1,3,602,0,800000,16
0,250001737233,7,470,4,8,1,3,257,0,5800000,746
0,240001602982,6,450,2,6,9,3,136,0,1800000,788
0,70001616708,8,420,2,8,3,1,277,1,12500,23243
0,10001621645,6,440,2,8,3,1,278,0,45967156,7436
0,260001668316,7,640,4,6,3,1,395,0,25037569,2644
0,160001621905,6,340,2,6,3,1,278,0,24680399,13066
0,130001612864,7,530,2,6,3,1,164,0,2500000,214
0,130001671850,7,530,2,7,3,1,999,0,1430000,591
0,50001647043,7,580,4,8,3,3,999,0,7800000,1598
0,20001652533,7,580,4,7,9,3,999,0,3931520,369
0,70001600827,8,340,4,8,3,1,296,0,18784595,11473
0,210001596921,6,230,2,7,1,1,999,0,550000,2706
0,130001724757,7,370,2,4,1,3,257,0,1370000,7825
0,250001621434,7,420,2,2,3,1,999,0,4831118,7825
0,240001610847,6,420,2,8,3,4,257,0,201355384,9665
0,200001604698,7,280,2,8,1,1,101,0,1350000,601
0,250001611262,6,680,2,8,3,1,301,0,50902227,4587
0,150001643187,7,560,2,5,9,3,257,0,650000,1573
0,250001609969,7,490,2,6,3,3,999,0,226836,1573
0,240001610823,7,370,2,8,1,1,278,0,4800000,11578
0,200001598462,6,550,2,8,9,3,113,0,2610000,2795
0,210001614011,6,390,2,8,3,1,131,0,2990000,1194
0,200001604205,7,580,2,6,3,1,923,0,41958630000000000,412
0,250001611372,6,420,4,8,3,1,265,0,240000,1914
0,190001603399,6,770,2,8,9,1,923,0,21039699,3891
0,50001600778,6,610,2,8,3,1,921,0,22492931,2666
0,270001697207,7,300,2,7,3,3,257,0,1050000,105
0,20001612367,7,340,2,7,3,3,234,0,3667411,20096
0,40001609379,6,370,2,8,1,1,278,0,102297018,20305
0,160001614820,7,710,2,8,3,1,125,0,387050281,16021
0,250001717123,6,590,2,5,3,1,999,0,4180000,723
0,50001634585,6,460,2,8,3,1,131,0,85933948,55995
0,200001652905,7,430,2,6,3,1,109,0,50000,5670
0,90001719530,7,420,2,7,3,3,131,0,3377580,429
0,120001613515,6,310,2,8,1,1,257,0,46453745,26683
0,130001607564,6,590,2,6,9,1,169,0,21722081,295
0,130001603590,6,390,2,5,1,1,278,0,10090000,2346
0,250001605010,7,390,2,6,3,1,532,0,715000,838
0,70001621235,6,730,2,8,9,1,295,0,130297554,2572
0,200001653695,6,680,2,8,3,1,111,0,113741694,33695
0,100001620070,7,480,2,6,3,3,402,0,5600000,1854
0,250001602029,6,500,2,3,1,3,257,0,35907000000000000,1242
0,250001643891,6,540,2,7,1,1,257,0,3287000,1301
0,90001615692,6,470,4,8,3,3,265,0,237850,862
0,210001596194,7,340,4,8,1,1,125,0,471040,244
1,180001602554,6,310,2,8,3,1,131,1,47229524,79987
0,70001596098,8,560,4,8,3,1,266,0,580000,676
0,250001602020,7,260,4,8,1,1,931,0,100000,20903
0,160001603308,6,460,2,6,3,1,257,0,2234252614,13907
0,250001610025,7,430,2,8,1,1,235,0,210000,1456
0,250001611502,7,560,2,8,3,1,266,0,7559266,12913
1,150001612058,7,470,4,8,3,3,111,1,78605002,41277
0,50001696420,7,550,2,6,3,3,237,0,4900000,1083
0,210001621298,7,660,2,8,3,1,278,0,10020416,4940
0,170001634979,6,670,2,8,1,3,402,0,37,129
0,30001606521,7,560,2,8,3,3,101,0,4180000,5592
0,190001638608,6,620,4,6,9,1,601,0,9350000,284
0,210001596994,6,580,2,8,3,1,131,0,54842495,7176
0,150001620788,7,470,2,6,1,3,709,0,195000,486
0,250001611763,7,600,4,8,5,3,923,0,3500000,15137
0,210001621247,6,330,2,8,1,1,111,0,2887108,33287
0,130001613388,6,510,4,8,1,2,298,0,30000,738
1,120001615139,7,580,2,8,3,1,277,1,6816705,19395
1,240001610226,7,540,2,4,3,1,277,1,125927354,44666
0,190001609704,6,520,2,8,3,1,296,0,22479026700000000,2376
